dataset,nodes,edges,density,clustering,connected_components,communities
apl,291,134,0.004306326304106548,0.0,61,12
bash,7466,5583,0.00022554471968812173,0.0,335,1745
c#,29279,20655,5.1435928590179384e-5,0.0,1246,9518
clojure,338,309,0.004957388470722219,0.0,6,71
dart,11536,8849,0.00013483573086222093,0.0,323,4154
delphi,602,456,0.0023893281445328918,0.0,39,177
elixir,262,193,0.005857578544803214,0.0,12,63
f#,378,329,0.004155130203429084,0.0,23,69
go,26273,13778,5.2491126248490106e-5,0.0,2883,6000
html,56865,32256,2.664185985458577e-5,0.0,3280,16514
javascript,103041,74938,1.560609272262606e-5,0.0,3242,34272
julia,825,772,0.0018816609463546154,0.0,18,198
kotlin,8101,5329,0.00018303149954918582,0.0,434,2470
lisp,359,338,0.004576262801167566,0.0,13,103
python,124397,109082,1.3123335129848647e-5,0.0,2733,41874
rust,2633,2021,0.000562362739945053,0.0,145,798
solidity,748,386,0.0018243772289079732,0.0,79,155
sql,47036,36231,3.2956264652087125e-5,0.0,2667,13137
swift,8540,7139,0.00017396797194473143,0.0,351,2917
typescript,20890,11483,6.839260776007563e-5,0.0,1635,5802
